B.cells 0 100 0 color=red3,glyph_size=50
B.cells 101 200 0 color=red3,glyph_size=30
B.cells 201 300 0 color=red2,glyph_size=40
CD4.T.cells 0 100 0 color=red2,glyph_size=40
CD4.T.cells 101 200 0 color=red4,glyph_size=40
CD4.T.cells 201 300 0 color=blue1,glyph_size=40
CD4.T.cells 301 400 0 color=blue3,glyph_size=40
CD4.T.cells 401 500 0 color=red3,glyph_size=20
CD8.T.cells 0 100 0 color=red2,glyph_size=40
CD8.T.cells 101 200 0 color=red1,glyph_size=30
CD8.T.cells 201 300 0 color=blue4,glyph_size=40
CD8.T.cells 301 400 0 color=red4,glyph_size=30
Dendritic.cells 0 100 0 color=white,glyph_size=40
Dendritic.cells 101 200 0 color=red1,glyph_size=60
Endothelial.cells 0 100 0 color=white,glyph_size=20
Endothelial.cells 101 200 0 color=red3,glyph_size=30
Endothelial.cells 201 300 0 color=red4,glyph_size=30
Endothelial.cells 301 400 0 color=blue3,glyph_size=20
Endothelial.cells 401 500 0 color=blue3,glyph_size=20
Fibroblasts 0 100 0 color=red2,glyph_size=40
Fibroblasts 101 200 0 color=red3,glyph_size=40
Fibroblasts 201 300 0 color=white,glyph_size=40
Fibroblasts 301 400 0 color=blue3,glyph_size=20
Mast.cells 0 100 0 color=red2,glyph_size=30
Mast.cells 101 200 0 color=blue3,glyph_size=30
Mast.cells 201 300 0 color=red1,glyph_size=30
Mast.cells 301 400 0 color=red1,glyph_size=40
Monocytes.and.Macrophages 0 100 0 color=blue4,glyph_size=20
Monocytes.and.Macrophages 101 200 0 color=white,glyph_size=10
Monocytes.and.Macrophages 201 300 0 color=red3,glyph_size=40
Monocytes.and.Macrophages 301 400 0 color=red4,glyph_size=30
Monocytes.and.Macrophages 401 500 0 color=blue3,glyph_size=30
NK.cells 0 100 0 color=blue3,glyph_size=40
NK.cells 101 200 0 color=blue1,glyph_size=30
NK.cells 201 300 0 color=red1,glyph_size=30
NK.cells 301 400 0 color=red4,glyph_size=30
PMNs 0 100 0 color=red2,glyph_size=30
PMNs 101 200 0 color=blue2,glyph_size=30
PMNs 201 300 0 color=blue3,glyph_size=20
